NDWI,date
-0.2087765203,2018-01-10
-0.2341377373,2018-01-10
-0.1350163971,2018-01-10
-0.2407770413,2018-01-10
-0.1986095013,2018-01-15
-0.248591433,2018-01-15
-0.1228463351,2018-01-15
-0.2555701613,2018-01-15
-0.2155820829,2018-01-20
-0.2661313279,2018-01-20
-0.1330827996,2018-01-20
-0.2699940213,2018-01-20
-0.2246522755,2018-01-30
-0.2745559102,2018-01-30
-0.1459599701,2018-01-30
-0.2803647375,2018-01-30
-0.2331577662,2018-02-09
-0.3106730685,2018-02-09
-0.1503712447,2018-02-09
-0.3208295551,2018-02-09
-0.2761069161,2018-02-14
-0.3682549733,2018-02-14
-0.1876385494,2018-02-14
-0.3744509662,2018-02-14
-0.2543848281,2018-02-19
-0.330736218,2018-02-19
-0.1611048224,2018-02-19
-0.3336279027,2018-02-19
-0.150381633,2018-02-24
-0.2096123243,2018-02-24
-0.06799250767,2018-02-24
-0.1860891809,2018-02-24
-0.152804151,2018-03-01
-0.1974653177,2018-03-01
-0.09745832337,2018-03-01
-0.240234774,2018-03-01
-0.265246251,2018-03-06
-0.3638261855,2018-03-06
-0.1918789146,2018-03-06
-0.3608292501,2018-03-06
-0.1526373588,2018-03-11
-0.3318578988,2018-03-11
-0.1788067552,2018-03-11
-0.3289199184,2018-03-11
-0.1980933197,2018-03-16
-0.2737024675,2018-03-16
-0.1272670709,2018-03-16
-0.2657040823,2018-03-16
-0.2118351741,2018-03-26
-0.2592960281,2018-03-26
-0.1833408304,2018-03-26
-0.2570595802,2018-03-26
-0.1955911607,2018-03-31
-0.2111897449,2018-03-31
-0.1763834819,2018-03-31
-0.213777737,2018-03-31
-0.1248417774,2018-04-05
-0.1206425107,2018-04-05
-0.125304617,2018-04-05
-0.1186181374,2018-04-05
-0.1512752596,2018-04-10
-0.1452607643,2018-04-10
-0.1493637344,2018-04-10
-0.1545395327,2018-04-10
-0.1693555052,2018-04-15
-0.1819354988,2018-04-15
-0.1676511964,2018-04-15
-0.1853144058,2018-04-15
-0.1637395957,2018-04-20
-0.1641235185,2018-04-20
-0.1579256518,2018-04-20
-0.1659188929,2018-04-20
-0.1992913328,2018-04-25
-0.1929368105,2018-04-25
-0.1986911143,2018-04-25
-0.1977561365,2018-04-25
-0.1748057068,2018-04-30
-0.1634894117,2018-04-30
-0.1721803279,2018-04-30
-0.1714781976,2018-04-30
-0.1638180097,2018-05-05
-0.1536506491,2018-05-05
-0.164979439,2018-05-05
-0.1650944885,2018-05-05
-0.1685863323,2018-05-10
-0.1466064618,2018-05-10
-0.1783448503,2018-05-10
-0.147140736,2018-05-10
-0.1060091666,2018-05-15
-0.09015713825,2018-05-15
-0.1122011961,2018-05-15
-0.09480128064,2018-05-15
-0.1065565291,2018-05-20
-0.1320468631,2018-05-20
-0.1322090346,2018-05-20
-0.1427639339,2018-05-20
-0.1868731171,2018-05-25
-0.1884068345,2018-05-25
-0.1933741396,2018-05-25
-0.1920628531,2018-05-25
-0.105196908,2018-05-30
-0.09114892846,2018-05-30
-0.1069372495,2018-05-30
-0.1098724969,2018-05-30
-0.116103751,2018-06-04
-0.1186858771,2018-06-04
-0.1169432198,2018-06-04
-0.1194988315,2018-06-04
-0.0850103971,2018-06-09
-0.06986913928,2018-06-09
-0.09310442226,2018-06-09
-0.06670994468,2018-06-09
-0.105162826,2018-06-14
-0.1102462216,2018-06-14
-0.1000434473,2018-06-14
-0.1105694401,2018-06-14
-0.1656640602,2018-06-19
-0.1680169461,2018-06-19
-0.1676253073,2018-06-19
-0.1660271512,2018-06-19
-0.1478255568,2018-06-24
-0.1578679578,2018-06-24
-0.1331226322,2018-06-24
-0.1569352239,2018-06-24
-0.02912022529,2018-06-29
-0.02114801489,2018-06-29
-0.008559546733,2018-06-29
-0.01686557383,2018-06-29
-0.02761373606,2018-07-04
-0.02411515311,2018-07-04
-0.06797282906,2018-07-04
-0.02637546507,2018-07-04
-0.1479180904,2018-07-09
-0.148246621,2018-07-09
-0.1529591273,2018-07-09
-0.1535396064,2018-07-09
-0.04180563647,2018-07-14
-0.07018641145,2018-07-14
-0.03233692733,2018-07-14
-0.05180074054,2018-07-14
-0.1323782462,2018-07-19
-0.1286393867,2018-07-19
-0.1263676487,2018-07-19
-0.1518225583,2018-07-19
-0.09237052731,2018-07-24
-0.1571340769,2018-07-24
-0.1108871741,2018-07-24
-0.1198017984,2018-07-24
-0.1894154996,2018-07-29
-0.2220627907,2018-07-29
-0.2032048171,2018-07-29
-0.2176310585,2018-07-29
-0.1987312335,2018-08-03
-0.1784824355,2018-08-03
-0.1909598113,2018-08-03
-0.1962024242,2018-08-03
-0.1340871924,2018-08-08
-0.1699571205,2018-08-08
-0.1160567345,2018-08-08
-0.1701962691,2018-08-08
-0.07928065526,2018-08-13
-0.07629268756,2018-08-13
-0.07253084356,2018-08-13
-0.07026937194,2018-08-13
-0.1239458669,2018-08-18
-0.103974409,2018-08-18
-0.1200509293,2018-08-18
-0.1517000102,2018-08-18
-0.02722173604,2018-08-23
-0.0321118191,2018-08-23
-0.04556369416,2018-08-23
-0.04698940247,2018-08-23
-0.004932539451,2018-08-28
-0.01822979665,2018-08-28
-0.02333363542,2018-08-28
-0.02631210265,2018-08-28
-0.007721609013,2018-09-02
-0.01256986498,2018-09-02
-0.01578663832,2018-09-02
-0.01421005313,2018-09-02
-0.2103185828,2018-09-07
-0.2905112127,2018-09-07
-0.1505032355,2018-09-07
-0.2872334022,2018-09-07
-0.2063126001,2018-09-12
-0.3385693906,2018-09-12
-0.2421021602,2018-09-12
-0.3294194971,2018-09-12
-0.220294692,2018-09-17
-0.3115302844,2018-09-17
-0.2267998398,2018-09-17
-0.2995541617,2018-09-17
0.003481217474,2018-09-22
0.01530232811,2018-09-22
0.012080545,2018-09-22
0.01879002382,2018-09-22
-0.2467751651,2018-09-27
-0.3096944563,2018-09-27
-0.2434918829,2018-09-27
-0.2935145585,2018-09-27
-0.2541041794,2018-10-02
-0.3050211943,2018-10-02
-0.2553656752,2018-10-02
-0.2888482268,2018-10-02
-0.2320438864,2018-10-07
-0.2811968068,2018-10-07
-0.2351143384,2018-10-07
-0.2637912729,2018-10-07
-0.2302920909,2018-10-12
-0.280353787,2018-10-12
-0.2354437824,2018-10-12
-0.2681170764,2018-10-12
-0.2135523308,2018-10-17
-0.2327897152,2018-10-17
-0.2070394435,2018-10-17
-0.2180556835,2018-10-17
-0.2035772835,2018-10-22
-0.2186571584,2018-10-22
-0.2068202994,2018-10-22
-0.2070402679,2018-10-22
-0.1034134119,2018-10-27
-0.1031757638,2018-10-27
-0.09352731279,2018-10-27
-0.0986920262,2018-10-27
-0.08086689402,2018-11-01
-0.07709777871,2018-11-01
-0.0682325668,2018-11-01
-0.09097913686,2018-11-01
-0.2130917317,2018-11-06
-0.2086418027,2018-11-06
-0.2011346973,2018-11-06
-0.2098385069,2018-11-06
-0.1454592387,2018-11-11
-0.09066711788,2018-11-11
-0.1175468821,2018-11-11
-0.08969623564,2018-11-11
-0.2048407397,2018-11-16
-0.1790159718,2018-11-16
-0.1865443334,2018-11-16
-0.1891529573,2018-11-16
-0.1628371141,2018-11-21
-0.1374633163,2018-11-21
-0.137766649,2018-11-21
-0.1489659992,2018-11-21
-0.1770884601,2018-11-26
-0.1395638828,2018-11-26
-0.1436222599,2018-11-26
-0.1476900534,2018-11-26
-0.2036050491,2018-12-01
-0.1619854617,2018-12-01
-0.162993379,2018-12-01
-0.172099591,2018-12-01
-0.1439667905,2018-12-06
-0.1297841519,2018-12-06
-0.09260166515,2018-12-06
-0.1434807402,2018-12-06
-0.03273932895,2018-12-11
-0.01986275316,2018-12-11
0.003206562248,2018-12-11
-0.03233388193,2018-12-11
-0.2178526121,2018-12-16
-0.2023001616,2018-12-16
-0.1508258129,2018-12-16
-0.2108558849,2018-12-16
-0.1811514833,2018-12-21
-0.1754898339,2018-12-21
-0.113676206,2018-12-21
-0.1851326733,2018-12-21
-0.186216105,2018-12-26
-0.1959200422,2018-12-26
-0.1113393664,2018-12-26
-0.2018028415,2018-12-26
