DOM,date
1.151630477,2018-01-10
1.151329566,2018-01-10
1.167988106,2018-01-10
1.153312677,2018-01-10
1.153879339,2018-01-15
1.15167303,2018-01-15
1.165129886,2018-01-15
1.153099762,2018-01-15
1.147599919,2018-01-20
1.150456671,2018-01-20
1.158316143,2018-01-20
1.152354373,2018-01-20
1.133521202,2018-01-30
1.133467881,2018-01-30
1.140559236,2018-01-30
1.129219057,2018-01-30
1.149549226,2018-02-09
1.15170206,2018-02-09
1.15283029,2018-02-09
1.1499301,2018-02-09
1.124920303,2018-02-14
1.126377484,2018-02-14
1.130171588,2018-02-14
1.122178203,2018-02-14
1.122492594,2018-02-19
1.130412672,2018-02-19
1.12689104,2018-02-19
1.131859656,2018-02-19
1.124642569,2018-02-24
1.135972628,2018-02-24
1.134243648,2018-02-24
1.136596824,2018-02-24
1.110363329,2018-03-01
1.11593227,2018-03-01
1.106871125,2018-03-01
1.11311112,2018-03-01
1.099151263,2018-03-06
1.103888514,2018-03-06
1.102407706,2018-03-06
1.101571543,2018-03-06
1.051138012,2018-03-11
1.102118692,2018-03-11
1.101635078,2018-03-11
1.101127665,2018-03-11
1.081746068,2018-03-16
1.091511871,2018-03-16
1.093312787,2018-03-16
1.092088288,2018-03-16
1.059665598,2018-03-26
1.065372603,2018-03-26
1.074084293,2018-03-26
1.064555111,2018-03-26
1.062381984,2018-03-31
1.071458732,2018-03-31
1.077059186,2018-03-31
1.069736456,2018-03-31
1.063433291,2018-04-05
1.082798956,2018-04-05
1.078717768,2018-04-05
1.090639609,2018-04-05
1.040870664,2018-04-10
1.048363502,2018-04-10
1.061688739,2018-04-10
1.045702323,2018-04-10
1.030499131,2018-04-15
1.015167987,2018-04-15
1.056223765,2018-04-15
1.016622407,2018-04-15
1.005942658,2018-04-20
1.002922571,2018-04-20
1.03679922,2018-04-20
1.008580137,2018-04-20
0.9982490019,2018-04-25
0.9979419725,2018-04-25
1.029216812,2018-04-25
1.001499935,2018-04-25
1.021955175,2018-04-30
1.028022959,2018-04-30
1.05378928,2018-04-30
1.029916658,2018-04-30
1.016021198,2018-05-05
1.018845417,2018-05-05
1.045525867,2018-05-05
1.015769064,2018-05-05
1.0439045,2018-05-10
1.056875277,2018-05-10
1.069512648,2018-05-10
1.062556226,2018-05-10
1.009821007,2018-05-15
1.010638419,2018-05-15
1.027137419,2018-05-15
1.011165939,2018-05-15
1.03683981,2018-05-20
1.012303212,2018-05-20
1.048492033,2018-05-20
1.010444184,2018-05-20
0.9969737889,2018-05-25
0.9860229554,2018-05-25
1.025174019,2018-05-25
0.9898331915,2018-05-25
1.002539721,2018-05-30
1.010394566,2018-05-30
1.021178583,2018-05-30
1.005426391,2018-05-30
1.010775365,2018-06-04
1.009469848,2018-06-04
1.034119726,2018-06-04
1.013536088,2018-06-04
1.034034427,2018-06-09
1.042103256,2018-06-09
1.053800248,2018-06-09
1.043713931,2018-06-09
0.966786768,2018-06-14
0.9655710961,2018-06-14
0.9800324456,2018-06-14
0.966459092,2018-06-14
0.9848985528,2018-06-19
0.9827739353,2018-06-19
1.013885547,2018-06-19
0.9874785968,2018-06-19
0.990380822,2018-06-24
0.9810648603,2018-06-24
1.021531737,2018-06-24
0.9856867527,2018-06-24
1.074097729,2018-06-29
1.071306896,2018-06-29
1.075843899,2018-06-29
1.067338419,2018-06-29
