SSC,date
0.6231938012,2018-01-10
0.571202333,2018-01-10
0.7350927606,2018-01-10
0.5571193873,2018-01-10
0.6377440578,2018-01-15
0.5594763642,2018-01-15
0.75411667,2018-01-15
0.5448265345,2018-01-15
0.618868585,2018-01-20
0.5411006914,2018-01-20
0.7424758524,2018-01-20
0.5295376984,2018-01-20
0.6078651924,2018-01-30
0.5336040808,2018-01-30
0.7284941604,2018-01-30
0.5241959756,2018-01-30
0.6075078502,2018-02-09
0.5053558907,2018-02-09
0.7299826118,2018-02-09
0.4903029751,2018-02-09
0.5687074507,2018-02-14
0.4563933209,2018-02-14
0.6900338158,2018-02-14
0.4460035026,2018-02-14
0.5938907729,2018-02-19
0.4885956714,2018-02-19
0.7223010665,2018-02-19
0.4790695851,2018-02-19
0.7242155712,2018-02-24
0.6220796274,2018-02-24
0.8502364609,2018-02-24
0.6480580121,2018-02-24
0.7255788438,2018-03-01
0.6430103852,2018-03-01
0.8232930295,2018-03-01
0.5901200268,2018-03-01
0.5971925987,2018-03-06
0.4670348559,2018-03-06
0.6947921585,2018-03-06
0.4616321359,2018-03-06
0.74151315,2018-03-11
0.4953256107,2018-03-11
0.7118106199,2018-03-11
0.4916587961,2018-03-11
0.6826215151,2018-03-16
0.5555014413,2018-03-16
0.7825282937,2018-03-16
0.5577101213,2018-03-16
0.6811364886,2018-03-26
0.5898819856,2018-03-26
0.7126302589,2018-03-26
0.5889575648,2018-03-26
0.7202251206,2018-03-31
0.6791747817,2018-03-31
0.7312229253,2018-03-31
0.6733997343,2018-03-31
0.8176882658,2018-04-05
0.8119068648,2018-04-05
0.7938270421,2018-04-05
0.8036037452,2018-04-05
0.791978417,2018-04-10
0.8056580824,2018-04-10
0.7648124916,2018-04-10
0.786978096,2018-04-10
0.7711809452,2018-04-15
0.7746050867,2018-04-15
0.7387584967,2018-04-15
0.7607369917,2018-04-15
0.7909062162,2018-04-20
0.8063143343,2018-04-20
0.7630553429,2018-04-20
0.7943183394,2018-04-20
